time_stamp,state,trend,seasonality,total_rx,total_rx_lag1,consumer_crm,consumer_website,consumer_display_campaign1,consumer_display_campaign2,consumer_display_campaign3,consumer_display_campaign4,consumer_coupon1,consumer_coupon2,consumer_sem_campaign1,consumer_sem_campaign2,consumer_sem_campaign3,consumer_sem_campaign4,hcp_website1,hcp_crm_campaign1,hcp_crm_campaign2,hcp_crm_campaign3,hcp_crm_campaign4,hcp_website2,hcp_display_campaign1,hcp_display_campaign2,hcp_display_campaign3,hcp_emr_campaign1,hcp_emr_campaign2,hcp_emr_campaign3,hcp_coupon1,hcp_coupon2,hcp_coupon3,hcp_coupon4,hcp_sem_campaign1,hcp_sem_campaign2,hcp_sem_campaign3,hcp_sales_rep_detailing
20150101,NC,0,January,45555.139,0,2064,17512,0,0,0,0,655,4914,79170,0,0,0,0,9,0,0,633,0,0,0,0,0,0,0,0,3976,97,706,20434,2093,0,2497
20150101,ND,0,January,2294.189,0,108,844,0,0,0,0,35,307,4412,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,174,5,30,1183,154,0,135
20150101,NE,0,January,7194.654,0,256,3289,0,0,0,0,73,709,13563,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,687,19,159,3722,297,0,275.5
20150101,NH,0,January,5328.909,0,175,1885,0,0,0,0,4,289,9986,0,0,0,0,2,0,0,92,0,0,0,0,0,0,0,0,435,8,72,2850,300,0,293
20150101,NJ,0,January,22515.312,0,978,12194,0,0,0,0,90,2499,66031,0,0,0,0,2,0,0,522,0,0,0,0,0,0,0,0,1841,43,306,14245,1971,0,1172
20150101,NM,0,January,1876.967,0,44,1099,0,0,0,0,5,44,7693,0,0,0,0,1,0,0,21,0,0,0,0,0,0,0,0,8,0,2,1677,316,0,42
20150101,NV,0,January,3756.853,0,124,2592,0,0,0,0,2,223,15078,0,0,0,0,1,0,0,66,0,0,0,0,0,0,0,0,398,3,104,3060,605,0,238.5
20150101,NY,0,January,39880.55,0,907,26331,0,0,0,0,126,2104,136847,0,0,0,0,3,0,0,833,0,0,0,0,0,0,0,0,1908,35,284,31151,4357,0,1960.5
20150101,OH,0,January,39912.346,0,1446,15470,0,0,0,0,299,3753,82718,0,0,0,0,5,0,0,888,0,0,0,0,0,0,0,0,2960,55,450,20849,2483,0,2264
20150101,OK,0,January,16420.283,0,709,4133,0,0,0,0,258,1673,25257,0,0,0,0,0,0,0,285,0,0,0,0,0,0,0,0,1460,36,219,6755,546,0,647
20150101,OR,0,January,5911.011,0,180,4077,0,0,0,0,14,497,25566,0,0,0,0,1,0,0,107,0,0,0,0,0,0,0,0,632,16,170,5535,888,0,446.5
20150101,PA,0,January,31588.136,0,994,17585,0,0,0,0,114,2226,96967,0,0,0,0,2,0,0,689,0,0,0,0,0,0,0,0,1872,46,341,22057,2964,0,2057.5
20150101,PR,0,January,1234.573,0,90,0,0,0,0,0,0,115,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,252,3,38,0,0,0,223
20150101,RI,0,January,3237.096,0,70,1623,0,0,0,0,2,226,8075,0,0,0,0,1,0,0,88,0,0,0,0,0,0,0,0,413,3,77,1924,223,0,258.5
20150101,SC,0,January,26308.04,0,1084,6456,0,0,0,0,294,2690,36004,0,0,0,0,0,0,0,516,0,0,0,0,0,0,0,0,3671,55,701,10406,885,0,1969.5
20150101,SD,0,January,3603.552,0,96,1008,0,0,0,0,28,328,5507,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,521,7,100,1652,123,0,158
20150101,TN,0,January,31933.975,0,1535,11348,0,0,0,0,236,3789,51011,0,0,0,0,5,0,0,477,0,0,0,0,0,0,0,0,3540,70,632,13998,1195,0,1660
20150101,TX,0,January,120457.578,0,6998,49115,0,0,0,0,1314,14894,206438,0,0,0,0,11,0,0,1647,0,0,0,0,0,0,0,0,15845,236,3204,54646,4633,0,5380
20150101,UT,0,January,8982.332,0,661,4116,0,0,0,0,35,1862,19293,0,0,0,0,1,0,0,190,0,0,0,0,0,0,0,0,1281,24,322,4853,728,0,746
20150101,VA,0,January,29182.978,0,1288,10821,0,0,0,0,57,2687,62101,0,0,0,0,0,0,0,568,0,0,0,0,0,0,0,0,2756,41,466,16151,1624,0,1910
20150101,VI,0,January,0.975,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150101,VT,0,January,2998.286,0,22,795,0,0,0,0,13,64,4208,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,28,2,3,1353,148,0,94
20150101,WA,0,January,13619.461,0,456,8872,0,0,0,0,190,985,50309,0,0,0,0,1,0,0,196,0,0,0,0,0,0,0,0,1083,21,278,9483,788,0,942
20150101,WI,0,January,27556.336,0,868,8159,0,0,0,0,247,2054,41290,0,0,0,0,0,0,0,312,0,0,0,0,0,0,0,0,2115,27,266,11057,994,0,961
20150101,WV,0,January,8162.661,0,169,2007,0,0,0,0,27,401,12909,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,221,7,31,3810,287,0,412
20150101,WY,0,January,990.286,0,45,481,0,0,0,0,3,66,2738,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,10,4,3,689,80,0,9.5
20150201,AK,1,February,914.758,980.524,26,691,0,0,0,0,0,52,3275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,15,698,218,0,22
20150201,AL,1,February,29669.154,32055.026,1180,8115,0,0,0,0,232,3466,38255,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4408,71,507,8861,1373,0,1148
20150201,AR,1,February,12934.319,13869.905,418,3225,0,0,0,0,190,1061,16794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1042,20,152,4217,727,0,680
20150201,AZ,1,February,11454.261,12069.698,459,8169,0,0,0,0,5,1126,36780,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1260,19,274,7133,2522,0,484
20150201,CA,1,February,37514.647,41108.535,926,38966,0,0,0,0,57,1908,187440,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,2505,45,771,32118,11681,0,1911
20150201,CO,1,February,10718.829,11303.02,442,7270,0,0,0,0,3,979,30179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,12,184,6124,2065,0,488.5
20150201,CT,1,February,14078.165,15193.668,381,5967,0,0,0,0,7,874,26369,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,822,17,173,6273,1497,0,722
20150201,DC,1,February,1938.489,2047.361,72,6925,0,0,0,0,1,146,13700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,2,14,3122,701,0,63.5
20150201,DE,1,February,5502.85,6382.775,108,1362,0,0,0,0,7,281,7830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328,4,42,1549,331,0,278
20150201,FL,1,February,59047.192,62881.246,2617,32976,0,0,0,0,162,6838,142533,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,6268,107,872,30019,6185,0,2573.5
20150201,GA,1,February,41717.373,46961.994,2513,25362,0,0,0,0,271,7636,81015,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,5731,95,955,17302,3716,0,1362.5
20150201,HI,1,February,577.846,647.596,19,1187,0,0,0,0,1,24,6253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,1003,459,0,1.5
20150201,IA,1,February,13383.395,14240.491,334,3788,0,0,0,0,76,1161,19219,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1100,29,160,4196,1205,0,476.5
20150201,ID,1,February,3537.399,3757.868,90,1776,0,0,0,0,11,295,8066,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,256,4,72,1782,494,0,195
